Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Gupta, P., Jindal, R., Sharma, A.","56912687600; 8698929800; 57216984272","Community Trolling: An Active Learning Approach for Topic Based Community Detection in Big Data",2018,"Journal of Grid Computing",16,"4",,553,567,,2,10.1007/s10723-018-9457-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85051642896&partnerID=40&md5=75fd569b54bdd7f7e7db6ce25ae35312",Article,Final,,Scopus,2-s2.0-85051642896
"Das, A.","55450733300","An artificial intelligence paradigm in heuristic search of tensile behaviour of titanium alloys",2018,"International Journal of Materials Research",109,"11",,979,1004,,2,10.3139/146.111694,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056725128&partnerID=40&md5=6061143ecdf9bad1797a6464f14c0f5a",Article,Final,,Scopus,2-s2.0-85056725128
"Chandiok, A., Chaturvedi, D.K.","35182730500; 12809516500","CIT: Integrated cognitive computing and cognitive agent technologies based cognitive architecture for human-like functionality in artificial systems",2018,"Biologically Inspired Cognitive Architectures",26,"",,55,79,,2,10.1016/j.bica.2018.07.020,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85051344596&partnerID=40&md5=d48fca3cd7f0cc0ea6fab514ea20df30",Article,Final,,Scopus,2-s2.0-85051344596
"Syed Ali Fathima, S.J., Shankar, S.","57202050582; 57214349706","AR using NUI based physical therapy rehabilitation framework with mobile decision support system:A global solution for remote assistance",2018,"Journal of Global Information Management",26,"4",,36,51,,2,10.4018/JGIM.2018100103,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85050766875&partnerID=40&md5=460e09f06be978fe3e8ea3a629b1bd36",Article,Final,,Scopus,2-s2.0-85050766875
"Sheena, A.D., Ramalingam, M., Anuradha, B.","57194415562; 26649035200; 36236853000","Groundwater potential evaluation using fuzzy inference system",2018,"Desalination and Water Treatment",122,"",,268,276,,2,10.5004/dwt.2018.22902,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85054713089&partnerID=40&md5=4325a384ea1f43565572739849e2ac8f",Article,Final,,Scopus,2-s2.0-85054713089
"Subalalitha, C.N., Poovammal, E.","55356546000; 26639841900","Automatic Bilingual Dictionary Construction for Tirukural",2018,"Applied Artificial Intelligence",32,"6",,558,567,,2,10.1080/08839514.2018.1481590,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048785070&partnerID=40&md5=ca1428f487539f87ec1cb5ad144f49c7",Article,Final,,Scopus,2-s2.0-85048785070
"Kundu, P., Nath, T., Palani, I.A., Lad, B.K.","57190491559; 56707068200; 26657638800; 24729191200","Integrating GLL-Weibull Distribution Within a Bayesian Framework for Life Prediction of Shape Memory Alloy Spring Undergoing Thermo-mechanical Fatigue",2018,"Journal of Materials Engineering and Performance",27,"7",,3655,3666,,2,10.1007/s11665-018-3435-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048012916&partnerID=40&md5=0bc2ddd0678db12390749bf516b97029",Article,Final,,Scopus,2-s2.0-85048012916
"Krishan, J., Anand, S., Bhargava, P., Jesan, T., Singh, K.D., Tripathi, R.M.","57194344030; 44561693000; 56440320200; 36954952300; 55293564200; 7201907677","Estimation of external plume dose for a coastal site",2018,"Nuclear Engineering and Design",333,"",,235,239,,2,10.1016/j.nucengdes.2018.04.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85046442891&partnerID=40&md5=f24c17e51330dcc062d35e6f773f1f1a",Article,Final,,Scopus,2-s2.0-85046442891
"Cheung, M.K., Schwendimann, B.A., Ward, A., Pietrzak, B., Mollaoglu, G., Duong, M.T., Allareddy, V., Ulltveit-Moe, N., Dutton-Regester, K., Zhang, J., Scult, M.A., Singh, P.C., Yan, H.Y., Naz, S., Isaacson, K., Dennis, A.F., Beardsley, F.R., Al-Humaidan, E.I., Lo, C., Jones, T., Sood, P., Nieuwenhuis, R., Ali, B.A., Yu, K.-H., Arthur, P.K., Kumar, B., Buschke, F., Chen, A., Cingl, L., O’Mullane, A.P., Coetzee, V., Zaidi, S.S.-E.-A., Konstantinides, N.","26024615700; 55103208200; 55543471300; 57202733969; 56082839700; 57202729105; 8417322600; 57219908740; 37072102700; 49862470900; 48861723700; 55523859200; 7403394186; 57201661622; 57193312606; 57201656359; 57192275295; 57202732403; 56666621800; 57202735326; 57132303500; 55228649600; 57194855609; 46961582400; 55382426400; 57202734770; 36933828000; 57202733862; 56458848500; 6508299103; 57213315378; 56949963000; 36988657900","Education for the future",2018,"Science",360,"6396",,1409,1412,,2,10.1126/science.aau3877,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049132112&partnerID=40&md5=672763e656d933e3a404a9da6244b54f",Article,Final,Open Access,Scopus,2-s2.0-85049132112
"Kaur, P., Krishan, K., Sharma, S.K.","57209527401; 57202279708; 55574195664","Development of human face literature database using text mining approach: Phase i",2018,"Journal of Craniofacial Surgery",29,"4",,966,969,,2,10.1097/SCS.0000000000004583,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048138075&partnerID=40&md5=41f468eb155fcee5988c7e01a797b5da",Article,Final,,Scopus,2-s2.0-85048138075
