Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Dixon, J.K.","7403665963","Z-Resolution: Theorem-Proving with Compiled Axioms",1973,"Journal of the ACM (JACM)",20,"1",,127,147,,10,10.1145/321738.321748,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976825676&partnerID=40&md5=0efc8c754a4d078fa08951bb4feacf9d",Article,Final,,Scopus,2-s2.0-84976825676
"Xiong, J., Zhao, M., Bhuiyan, M.Z.A., Chen, L., Tian, Y.","35094715500; 57217247572; 35184906400; 54790727300; 55480173200","An AI-Enabled Three-Party Game Framework for Guaranteed Data Privacy in Mobile Edge Crowdsensing of IoT",2021,"IEEE Transactions on Industrial Informatics",17,"2", 8918437,922,933,,9,10.1109/TII.2019.2957130,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85096782527&partnerID=40&md5=7cd0373d9cfc4125e5b9db5c9d00d7e7",Article,Final,,Scopus,2-s2.0-85096782527
"Zonta, T., da Costa, C.A., da Rosa Righi, R., de Lima, M.J., da Trindade, E.S., Li, G.P.","57216389219; 34976368800; 24825663800; 57219312576; 57219306613; 57203774853","Predictive maintenance in the Industry 4.0: A systematic literature review",2020,"Computers and Industrial Engineering",150,"", 106889,,,,9,10.1016/j.cie.2020.106889,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85092176538&partnerID=40&md5=ac459a9a5112fa2c3df0dd1fce118790",Article,Final,,Scopus,2-s2.0-85092176538
"Wu, Y., Abdel-Aty, M., Wang, L., Rahman, M.S.","57194413766; 7006423551; 56927262000; 55534140942","Combined connected vehicles and variable speed limit strategies to reduce rear-end crash risk under fog conditions",2020,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",24,"5",,494,513,,9,10.1080/15472450.2019.1634560,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068580551&partnerID=40&md5=cffdea2df35c63b282e6eb5678e23f39",Article,Final,,Scopus,2-s2.0-85068580551
"Salehi, H., Das, S., Biswas, S., Burgueño, R.","57189268218; 57188557805; 22733328600; 57204252783","Data mining methodology employing artificial intelligence and a probabilistic approach for energy-efficient structural health monitoring with noisy and delayed signals",2019,"Expert Systems with Applications",135,"",,259,272,,9,10.1016/j.eswa.2019.05.051,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067170291&partnerID=40&md5=cfe67bcc141fefc54c007d11b94fc081",Article,Final,Open Access,Scopus,2-s2.0-85067170291
"Fan, D., Jodin, G., Consi, T.R., Bonfiglio, L., Ma, Y., Keyes, L.R., Karniadakis, G.E., Triantafyllou, M.S.","57192576414; 56732969700; 6603112122; 55848582900; 55556574100; 57213456692; 55665002100; 7007092942","A robotic intelligent towing tank for learning complex fluid-structure dynamics",2019,"Science Robotics",4,"36", eaay5063,,,,9,10.1126/scirobotics.aay5063,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85077807365&partnerID=40&md5=7e44a7954d373eeb44fb47eab35d9f2f",Article,Final,Open Access,Scopus,2-s2.0-85077807365
"Li, M., Shamsi, K., Meade, T., Zhao, Z., Yu, B., Jin, Y., Pan, D.Z.","56900048800; 57188709568; 57190842165; 57192212929; 54939654000; 24471712200; 57200099742","Provably Secure Camouflaging Strategy for IC Protection",2019,"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems",38,"8", 8027112,1399,1412,,9,10.1109/TCAD.2017.2750088,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85029178601&partnerID=40&md5=98bafc75a3ed9962387ebf94ddd98191",Article,Final,,Scopus,2-s2.0-85029178601
"Tran, A., Furlan, J.M., Pagalthivarthi, K.V., Visintainer, R.J., Wildey, T., Wang, Y.","57189903924; 35072694200; 6603567488; 6602527719; 22981940300; 56040413400","WearGP: A computationally efficient machine learning framework for local erosive wear predictions via nodal Gaussian processes",2019,"Wear",422-423,"",,9,26,,9,10.1016/j.wear.2018.12.081,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85059350999&partnerID=40&md5=158a818853c6b82173dd928ed0176680",Article,Final,,Scopus,2-s2.0-85059350999
"Zhou, Y., Arghandeh, R., Zou, H., Spanos, C.J.","57188874221; 35193500400; 55923957400; 7004447999","Nonparametric Event Detection in Multiple Time Series for Power Distribution Networks",2019,"IEEE Transactions on Industrial Electronics",66,"2", 8370797,1619,1628,,9,10.1109/TIE.2018.2840508,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85048011249&partnerID=40&md5=4f4e20b2ce94dae2f0b4308aea9991ef",Article,Final,,Scopus,2-s2.0-85048011249
"de Souza, W.A., Garcia, F.D., Marafão, F.P., Da Silva, L.C.P., Simões, M.G.","55902079000; 57194331008; 6507836843; 35562722200; 7102405730","Load disaggregation using microscopic power features and pattern recognition",2019,"Energies",12,"14", 2641,,,,9,10.3390/en12142641,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85068766271&partnerID=40&md5=3381dbc6029f2279f330d07ca089b4ae",Article,Final,Open Access,Scopus,2-s2.0-85068766271
"Li, Y., Tang, G., Du, J., Zhou, N., Zhao, Y., Wu, T.","53982966700; 57209249704; 57209257530; 56927522300; 57209243976; 57190745271","Multilayer Perceptron Method to Estimate Real-World Fuel Consumption Rate of Light Duty Vehicles",2019,"IEEE Access",7,"", 8703740,63395,63402,,9,10.1109/ACCESS.2019.2914378,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85067013650&partnerID=40&md5=75bb84c3c2723f06b7ecde1a5c90bf99",Article,Final,Open Access,Scopus,2-s2.0-85067013650
"Zhang, Z., Trivedi, C., Liu, X.","57200087637; 57209034674; 36602967400","Automated detection of grade-crossing-trespassing near misses based on computer vision analysis of surveillance video data",2018,"Safety Science",110,"",,276,285,,9,10.1016/j.ssci.2017.11.023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85039445335&partnerID=40&md5=b69691cb57680baa2bb8ab3e4d2b9ded",Article,Final,,Scopus,2-s2.0-85039445335
"Zhu, D.Z., Gregory, M.D., Werner, P.L., Werner, D.H.","57189633216; 25638410200; 56036142700; 55925714300","Fabrication and characterization of multiband polarization independent 3-d-printed frequency selective structures with ultrawide fields of view",2018,"IEEE Transactions on Antennas and Propagation",66,"11", 8443377,6069,6105,,9,10.1109/TAP.2018.2866507,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052684690&partnerID=40&md5=2affd254521057942de455469b2073df",Article,Final,,Scopus,2-s2.0-85052684690
"Zamani Esfahlani, F., Visser, K., Strauss, G.P., Sayama, H.","57200635545; 57193229583; 8966797600; 7006442975","A network-based classification framework for predicting treatment response of schizophrenia patients",2018,"Expert Systems with Applications",109,"",,152,161,,9,10.1016/j.eswa.2018.05.005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047651750&partnerID=40&md5=d845af40c43623cc1bf81154a0f2c1f7",Article,Final,,Scopus,2-s2.0-85047651750
"Alred, J.M., Bets, K.V., Xie, Y., Yakobson, B.I.","56496879200; 26530762000; 57207375929; 7005672846","Machine learning electron density in sulfur crosslinked carbon nanotubes",2018,"Composites Science and Technology",166,"",,3,9,,9,10.1016/j.compscitech.2018.03.035,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045113268&partnerID=40&md5=a956c16e1598767878282c0571b6cda8",Article,Final,,Scopus,2-s2.0-85045113268
"Zhang, Q., Liang, P.P., Huang, Y.-D., Pei, Y., Liang, Y.-C.","57212799724; 57203051940; 57193653787; 17435923200; 36071330300","Label-assisted transmission for short packet communications: A machine learning approach",2018,"IEEE Transactions on Vehicular Technology",67,"9", 8400488,8846,8859,,9,10.1109/TVT.2018.2851619,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85049317305&partnerID=40&md5=a31318f46a0ed02a65c60b812d7e9263",Article,Final,,Scopus,2-s2.0-85049317305
"Bagriacik, A., Davidson, R.A., Hughes, M.W., Bradley, B.A., Cubrinovski, M.","56263241900; 7401730313; 56229246000; 22956770000; 8959764900","Comparison of statistical and machine learning approaches to modeling earthquake damage to water pipelines",2018,"Soil Dynamics and Earthquake Engineering",112,"",,76,88,,9,10.1016/j.soildyn.2018.05.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85047238108&partnerID=40&md5=da2931bdfa535871f0814c186d44d877",Article,Final,,Scopus,2-s2.0-85047238108
"Derezinski, M., Warmuth, M.K.","56736922600; 7006569251","Reverse iterative volume sampling for linear regression<sup>∗</sup>",2018,"Journal of Machine Learning Research",19,"",,1,39,,9,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85052930027&partnerID=40&md5=402c3e6e27c700198b27a46586326b88",Article,Final,,Scopus,2-s2.0-85052930027
"Zhang, W., Robinson, C., Guhathakurta, S., Garikapati, V.M., Dilkina, B., Brown, M.A., Pendyala, R.M.","56900468200; 57193617558; 6603338452; 55932419100; 23008031500; 7405388601; 7004030167","Estimating residential energy consumption in metropolitan areas: A microsimulation approach",2018,"Energy",155,"",,162,173,,9,10.1016/j.energy.2018.04.161,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85056223880&partnerID=40&md5=c0fbbc19b37fcc1f18cc5f1866c64fee",Article,Final,,Scopus,2-s2.0-85056223880
