Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Liu, M.-Q., Zhang, S.-L., Yan, G.-F.","26643265600; 57189218610; 7202089458","A new neural network model for the feedback stabilization of nonlinear systems",2008,"Journal of Zhejiang University: Science A",9,"8",,1015,1023,,4,10.1631/jzus.A0720122,"https://www.scopus.com/inward/record.url?eid=2-s2.0-49149086894&partnerID=40&md5=decc02f6ba96f1266ce8192051c7a408",Article,Final,,Scopus,2-s2.0-49149086894
"Luo, H.-B., Meng, L.-F., Tang, C.-X.","55454058700; 56224330800; 24485739100","Chooseing grinding parameters intelligently based on the artificial neural networks",2008,"Sichuan Daxue Xuebao (Gongcheng Kexue Ban)/Journal of Sichuan University (Engineering Science Edition)",40,"4",,176,180,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-48549103756&partnerID=40&md5=414b039d8490482762e69a3c3a79c6d6",Article,Final,,Scopus,2-s2.0-48549103756
"Sang, B., Jiang, C.","24768294000; 15044641800","Virtual target differential game midcourse guidance law for hypersonic cruise missile based on neural network",2008,"Transactions of Nanjing University of Aeronautics and Astronautics",25,"2",,121,127,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-51149085858&partnerID=40&md5=960ec089d111f57001dec74f16fbdec0",Article,Final,,Scopus,2-s2.0-51149085858
"Liu, K.-F., Zhang, R., Li, W.-C., Zhao, Z.-J., Jiang, H.-Y.","55729544100; 24081745500; 56113785700; 56171585600; 55492267500","Cloud cluster movement forecast technique of satellite cloud pictures based on singular value decomposition and artificial neural networks",2008,"Jiefangjun Ligong Daxue Xuebao/Journal of PLA University of Science and Technology (Natural Science Edition)",9,"3",,298,301,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-47549113537&partnerID=40&md5=2d296cd819289677a603c103e24dfdc1",Article,Final,,Scopus,2-s2.0-47549113537
"Li, M.-C., Liang, S.-X., Sun, Z.-C.","35198529800; 7402146695; 7404239850","Research on tide supplemental prediction using ANN methods under unusual weather",2008,"Jisuan Lixue Xuebao/Chinese Journal of Computational Mechanics",25,"3",,368,372,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-47549094393&partnerID=40&md5=86baf1dd949f57e6b4040f854f817596",Article,Final,,Scopus,2-s2.0-47549094393
"Liu, D.-Y., Zhang, J.-H., Guan, X.-P., Xiao, X.-D.","56069597600; 55877234000; 7201463266; 57197586988","Generalized LMI-based approach to global asymptotic stability of cellular neural networks with delay",2008,"Applied Mathematics and Mechanics (English Edition)",29,"6",,811,816,,4,10.1007/s10483-008-0612-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-46749135724&partnerID=40&md5=65de3395336663a5ae50ac6f9eed12af",Article,Final,,Scopus,2-s2.0-46749135724
"Li, H., Wang, J.-L.","57060880700; 23053001600","Study of tumor molecular prediction model based on gene expression profiles",2008,"Tien Tzu Hsueh Pao/Acta Electronica Sinica",36,"5",,989,992,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-45949095064&partnerID=40&md5=c2c641c62c22893b570e38980cc494e7",Article,Final,,Scopus,2-s2.0-45949095064
"Liu, X.-Q., Chen, C., Liu, G.-H., Lu, X.-Y.","8437625600; 7501963967; 8369496400; 24402941400","Neural network control of two-motor synchronous system",2008,"Jiangsu Daxue Xuebao (Ziran Kexue Ban) / Journal of Jiangsu University (Natural Science Edition)",29,"3",,240,243,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-45949094572&partnerID=40&md5=eedf19b0f1574e5642738cd98be45f19",Article,Final,,Scopus,2-s2.0-45949094572
"Yang, C.-G., Chen, J., Tu, X.-Y.","24832379800; 35203009200; 8875419100","Optimization of ground anti-aircraft weapon system networks based on direction probability and algorithm of improved marriage in honey bee optimization",2008,"Binggong Xuebao/Acta Armamentarii",29,"2",,221,226,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-42449096894&partnerID=40&md5=d156bd0b8b08b0261ab3ba2539685d41",Article,Final,,Scopus,2-s2.0-42449096894
"Xiao, Y., Chen, X., Zhu, H.","14829884900; 14828754500; 7404664264","Improved discrete grey model and its application",2008,"Beijing Jiaotong Daxue Xuebao/Journal of Beijing Jiaotong University",32,"1",,101,103+107,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-40749113102&partnerID=40&md5=9d6cedad44855e6d3bc8d7ad597a927c",Article,Final,,Scopus,2-s2.0-40749113102
"Shu, H., Wen, J.","36719209000; 7402701729","Overview of parameter identification methods for generator excitation systems",2008,"Dianli Zidonghua Shebei / Electric Power Automation Equipment",28,"2",,104,107,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-40449132128&partnerID=40&md5=1526e35ab022fe04d2eb41bbb019f432",Article,Final,,Scopus,2-s2.0-40449132128
"Qi, W., Hui, D., Guang-zhi, W.","57220936963; 36765248300; 57194133079","Multistage processing procedure for 4D breast MRI segmentation.",2008,"Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference",,"",,3036,3039,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84903860378&partnerID=40&md5=e383bd723a4d27b38cbdb3facd584e61",Article,Final,,Scopus,2-s2.0-84903860378
"Wang, H., Wang, K.-J., Yu, L.-J., Li, X.-L.","55907821400; 7501399380; 55686822400; 55870103100","Immune negative selection algorithm with an adjustable threshold based on fuzzy logic",2007,"Harbin Gongcheng Daxue Xuebao/Journal of Harbin Engineering University",28,"11",,1222,1227,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-37749051563&partnerID=40&md5=fe8e616845f42b0168af9c0818d9bc02",Article,Final,,Scopus,2-s2.0-37749051563
"Xiao, Q.-K., Gao, S., Gao, X.-G.","23092514400; 57203366102; 8707582900","Constructing DBN structure based on BOA",2007,"Xi Tong Gong Cheng Yu Dian Zi Ji Shu/Systems Engineering and Electronics",29,"10",,1732,1737,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-36248940218&partnerID=40&md5=2947b8c5e9c78aaf6ab2eaf8d41d8696",Article,Final,,Scopus,2-s2.0-36248940218
"Lu, N., Shan, B.-C., Xu, J.-Y., Wang, W., Li, K.-C.","57198649045; 7006926463; 8502625300; 57192617551; 36066893600","Improved temporal clustering analysis method applied to whole-brain data in acupuncture fMRI study",2007,"Magnetic Resonance Imaging",25,"8",,1190,1195,,4,10.1016/j.mri.2007.02.010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34648846239&partnerID=40&md5=2d50002c9fa6633d091caec3e25bd41d",Article,Final,,Scopus,2-s2.0-34648846239
"Zhao, R.-Z., Li, C., Zhang, Y.-Y.","7401975879; 56105624500; 8987065600","Study on fault knowledge processing modes in intelligent diagnosis based on theory of rough set",2007,"Zhendong yu Chongji/Journal of Vibration and Shock",26,"9",,71,74,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-35548975253&partnerID=40&md5=1aba6099941b5e8461b039a27560c7d3",Article,Final,,Scopus,2-s2.0-35548975253
"Ning, S.-R., Ban, X.-J., Tu, X.-Y.","16319751100; 14007636600; 8875419100","Intention produce and behavior control for artificial fish based on harmonic of emotion and intelligence",2007,"Zidonghua Xuebao/Acta Automatica Sinica",33,"8",,835,839,,4,10.1360/aas-007-0835,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34548487967&partnerID=40&md5=935db6c5a6673bac0cf772199c6266a7",Article,Final,,Scopus,2-s2.0-34548487967
"Zhang, Y.-M., Liu, R.-Y., Yu, F.-H.","54966966200; 10043924700; 7402822873","Computational intelligence-based reliability design optimization for structural system",2007,"Gongcheng Lixue/Engineering Mechanics",24,"8",,27,31+21,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34548487136&partnerID=40&md5=b5cfa75a230a072efebcbf483dd966ab",Article,Final,,Scopus,2-s2.0-34548487136
"Xi, Z.","15844657200","Study on mission planning of spaceflight applying artificial intelligence",2007,"Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica",28,"4",,791,795,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34547972845&partnerID=40&md5=dddd7d4a5e8ba5a4a08137f403175b57",Article,Final,,Scopus,2-s2.0-34547972845
"Wu, Q., Yu, J., Pang, W., Zhuang, J., Li, X.-Z., Kang, S.-C.","35468560800; 55682110200; 36850035700; 36862465100; 55870155100; 18233545700","Prediction of size-limited structures in the front of coal tunnelling based on ANN",2007,"Zhongguo Kuangye Daxue Xuebao/Journal of China University of Mining and Technology",36,"4",,446,452,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34547636910&partnerID=40&md5=54d79cda5adb2577382dfa26b8e3a51d",Article,Final,,Scopus,2-s2.0-34547636910
"Xiao, R.-B., Tao, Z.-W., Zou, H.-F.","7102017052; 8529012100; 42062728100","Concurrent tolerance optimization design based on hybrid swarm intelligence algorithm",2007,"Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS",13,"4",,668,674+691,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34250192518&partnerID=40&md5=cd0370cc2312c09410ea19a6d0fde930",Article,Final,,Scopus,2-s2.0-34250192518
"Xu, J.-J., Xin, Z.-H.","9735193900; 7101911822","Research of particle swarm optimization based on a two-stage strategy",2007,"Beijing Youdian Daxue Xuebao/Journal of Beijing University of Posts and Telecommunications",30,"1",,136,139,,4,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-34247186860&partnerID=40&md5=288ce317bc79e48bb7edbd8883415631",Article,Final,,Scopus,2-s2.0-34247186860
